altitude_km,longueur_onde_um,pression_Pa,temperature_C,temperature_K,epaisseur_couche_m,CO2_ppm,H2O_ppm,CH4_ppm,O3_ppm,sigma_CO2_m2_molecule,sigma_H2O_m2_molecule,sigma_CH4_m2_molecule,sigma_O3_m2_molecule,tau_CO2,tau_H2O,tau_CH4,tau_O3,tau_total,emissivite
0,7.9,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,1.947870100664e-35,1.973462236370e-24,2.434953798330e-23,7.973467697205e-28,2.108451556610e-10,6.504411475075e+02,1.178308557973e+00,2.030775638662e-06,6.516194580965e+02,1.000000000000e+00
0,8.0,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,2.999576837330e-35,1.552609219366e-24,1.369275145730e-23,1.309713671029e-27,3.246860480935e-10,5.117305533716e+02,6.626115959738e-01,3.335731350213e-06,5.123931683036e+02,1.000000000000e+00
0,8.1,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,4.619127938758e-35,1.221505719493e-24,7.700000000000e-24,2.238432729297e-27,4.999926581006e-10,4.026008540886e+02,3.726138829664e-01,5.701101237337e-06,4.029734736732e+02,1.000000000000e+00
0,8.2,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,7.113117640156e-35,9.610120975291e-25,4.330028203966e-24,3.934515581404e-27,7.699519570441e-10,3.167437410078e+02,2.095361847317e-01,1.002088262733e-05,3.169532872142e+02,1.000000000000e+00
0,8.3,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,1.095367853706e-34,7.560703610552e-25,2.434953798330e-24,7.046359169295e-27,1.185669442444e-09,2.491961914335e+02,1.178308557973e-01,1.794648838583e-05,2.493140402370e+02,1.000000000000e+00
0,8.4,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,1.686786013714e-34,5.948337280445e-25,1.369275145730e-24,1.277185955428e-26,1.825843825557e-09,1.960535780797e+02,6.626115959738e-02,3.252885974862e-05,1.961198717700e+02,1.000000000000e+00
0,8.5,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,2.597526526305e-34,4.679818164147e-25,7.700000000000e-25,2.332427770138e-26,2.811665339417e-09,1.542439597128e+02,3.726138829664e-02,5.940498757141e-05,1.542812805089e+02,1.000000000000e+00
0,8.6,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,4.000000000000e-34,3.681818736617e-25,4.330028203966e-25,4.279308650284e-26,4.329758038571e-09,1.213505057165e+02,2.095361847317e-02,1.089904178123e-04,1.213715683298e+02,1.000000000000e+00
0,8.7,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,6.159706104238e-34,2.896649026226e-25,2.434953798330e-25,7.873468347670e-26,6.667509255015e-09,9.547178972172e+01,1.178308557973e-02,2.005306639397e-04,9.548377334464e+01,1.000000000000e+00
0,8.8,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,9.485494822647e-34,2.278921810609e-25,1.369275145730e-25,1.451117852409e-25,1.026747436454e-08,7.511187649068e+01,6.626115959738e-03,3.695875991989e-04,7.511887220450e+01,1.000000000000e+00
